SightingID,BehaviorName
51,Glowing
175,Floating
160,Shapeshifting
235,Whispering
76,Glowing
146,Shadow Movement
206,Shapeshifting
111,Shapeshifting
122,Teleporting
146,Object Manipulation
130,Growling
69,Floating
111,Shapeshifting
59,Floating
33,Teleporting
280,Shadow Movement
8,Growling
107,Floating
127,Teleporting
215,Teleporting
111,Shapeshifting
280,Growling
9,Growling
180,Floating
71,Growling
118,Floating
266,Teleporting
117,Whispering
146,Whispering
138,Glowing
74,Glowing
156,Object Manipulation
150,Glowing
98,Floating
223,Whispering
138,Shadow Movement
100,Whispering
151,Object Manipulation
190,Growling
61,Whispering
163,Object Manipulation
266,Growling
193,Floating
279,Shadow Movement
69,Glowing
20,Teleporting
203,Whispering
256,Shapeshifting
203,Glowing
170,Teleporting
97,Shadow Movement
179,Glowing
50,Shapeshifting
227,Object Manipulation
242,Growling
10,Teleporting
11,Object Manipulation
265,Floating
122,Floating
275,Glowing
156,Glowing
160,Shadow Movement
273,Shapeshifting
259,Floating
90,Teleporting
170,Teleporting
69,Shadow Movement
271,Floating
192,Object Manipulation
6,Teleporting
217,Glowing
176,Teleporting
154,Glowing
44,Shadow Movement
168,Shadow Movement
67,Teleporting
43,Floating
141,Floating
247,Object Manipulation
276,Glowing
86,Whispering
206,Whispering
295,Shapeshifting
182,Teleporting
50,Teleporting
52,Floating
277,Glowing
16,Glowing
218,Whispering
120,Object Manipulation
161,Object Manipulation
37,Teleporting
276,Teleporting
144,Shadow Movement
266,Shadow Movement
129,Shapeshifting
121,Growling
104,Shapeshifting
118,Whispering
200,Object Manipulation
122,Teleporting
86,Growling
168,Shadow Movement
10,Object Manipulation
146,Shadow Movement
60,Shapeshifting
124,Floating
37,Whispering
218,Shadow Movement
190,Growling
107,Object Manipulation
291,Teleporting
7,Object Manipulation
132,Teleporting
211,Shadow Movement
155,Glowing
135,Floating
211,Growling
53,Glowing
65,Floating
199,Shadow Movement
204,Growling
228,Growling
241,Object Manipulation
210,Glowing
22,Growling
272,Whispering
44,Teleporting
171,Object Manipulation
105,Object Manipulation
174,Whispering
84,Floating
83,Object Manipulation
225,Object Manipulation
18,Shapeshifting
145,Object Manipulation
293,Object Manipulation
254,Whispering
24,Glowing
126,Shapeshifting
295,Growling
127,Shapeshifting
208,Growling
190,Glowing
157,Teleporting
282,Floating
39,Shapeshifting
4,Shadow Movement
31,Growling
26,Shadow Movement
133,Glowing
17,Glowing
98,Teleporting
201,Object Manipulation
197,Shadow Movement
27,Shapeshifting
7,Teleporting
269,Whispering
241,Teleporting
42,Floating
99,Shadow Movement
194,Shadow Movement
24,Glowing
195,Glowing
175,Floating
35,Glowing
1,Floating
37,Object Manipulation
151,Shapeshifting
36,Shadow Movement
84,Floating
82,Shadow Movement
87,Glowing
295,Shadow Movement
132,Glowing
294,Growling
38,Shapeshifting
174,Object Manipulation
231,Whispering
47,Teleporting
58,Glowing
265,Floating
290,Whispering
74,Floating
193,Shadow Movement
24,Glowing
169,Teleporting
220,Object Manipulation
146,Shadow Movement
136,Growling
45,Whispering
158,Teleporting
51,Object Manipulation
251,Object Manipulation
53,Shadow Movement
117,Shapeshifting
170,Whispering
258,Object Manipulation
186,Object Manipulation
252,Shapeshifting
105,Glowing
47,Object Manipulation
176,Teleporting
294,Whispering
35,Teleporting
57,Growling
195,Object Manipulation
152,Teleporting
178,Growling
108,Glowing
276,Glowing
245,Growling
120,Growling
74,Shadow Movement
109,Shapeshifting
186,Whispering
135,Object Manipulation
233,Shadow Movement
200,Whispering
80,Shadow Movement
120,Floating
287,Glowing
212,Growling
260,Glowing
16,Whispering
191,Shadow Movement
145,Object Manipulation
33,Growling
101,Floating
271,Glowing
14,Floating
263,Object Manipulation
76,Whispering
194,Glowing
95,Object Manipulation
75,Growling
293,Growling
76,Teleporting
32,Floating
207,Floating
24,Floating
255,Growling
192,Glowing
72,Teleporting
42,Teleporting
58,Glowing
243,Whispering
39,Object Manipulation
102,Whispering
223,Growling
122,Shadow Movement
226,Whispering
185,Glowing
294,Shadow Movement
229,Floating
40,Teleporting
266,Shapeshifting
200,Floating
99,Shapeshifting
256,Whispering
294,Glowing
8,Floating
205,Growling
255,Growling
73,Shadow Movement
198,Object Manipulation
175,Growling
152,Teleporting
245,Whispering
287,Teleporting
19,Teleporting
64,Shadow Movement
149,Shapeshifting
300,Shadow Movement
159,Object Manipulation
36,Shadow Movement
133,Shadow Movement
273,Growling
188,Floating
46,Teleporting
30,Floating
193,Shadow Movement
11,Object Manipulation
282,Shadow Movement
279,Shadow Movement
133,Floating
215,Shadow Movement
60,Object Manipulation
286,Shapeshifting
123,Glowing
187,Teleporting
122,Floating
269,Whispering
33,Teleporting
24,Growling
141,Glowing
231,Floating
89,Teleporting
259,Object Manipulation
279,Shapeshifting
