SightingID,EntityID,TimeObserved,City,State,CredibilityScore
1,11,7/9/2021 1:00,Washington,DC,7
2,3,1/5/2020 1:38,Washington,DC,2
3,5,9/10/2019 22:02,Washington,DC,10
4,9,3/10/2019 21:19,South Bend,IN,9
5,11,10/19/2024 1:12,South Bend,IN,2
6,17,4/3/2021 0:56,South Bend,IN,5
7,9,4/27/2025 23:52,Baton Rouge,LA,7
8,16,6/21/2019 22:52,Baton Rouge,LA,7
9,7,5/24/2019 2:46,Baton Rouge,LA,10
10,10,12/13/2023 2:12,Baton Rouge,LA,10
11,7,2/12/2023 18:47,Jeffersonville,IN,6
12,10,6/12/2020 20:47,Jeffersonville,IN,2
13,15,3/30/2023 17:02,Cleveland,OH,8
14,8,2/16/2018 20:01,Omaha,NE,9
15,11,4/27/2024 21:28,Omaha,NE,5
16,10,7/17/2021 17:30,Omaha,NE,7
17,3,9/9/2022 20:44,Charlotte,NC,1
18,14,8/17/2019 22:16,Charlotte,NC,7
19,5,11/10/2025 3:43,Tucson,AZ,5
20,10,5/21/2023 1:48,Tucson,AZ,1
21,2,7/6/2021 21:41,Charlotte,NC,2
22,14,4/2/2025 21:58,Louisville,KY,1
23,14,5/26/2020 4:57,Louisville,KY,1
24,13,7/3/2022 17:11,Spokane,WA,10
25,1,4/28/2020 9:51,Spokane,WA,1
26,6,4/10/2019 16:13,Spokane,WA,4
27,3,12/15/2019 21:34,Spokane,WA,10
28,4,12/1/2022 2:01,Boulder,CO,7
29,2,1/19/2022 21:05,Phoenix,AZ,6
30,15,8/29/2023 0:04,Phoenix,AZ,10
31,5,8/4/2023 2:50,Phoenix,AZ,4
32,9,6/23/2022 2:02,Palatine,IL,8
33,10,1/23/2021 20:47,Palatine,IL,3
34,6,2/17/2021 23:02,Colorado Springs,CO,3
35,17,9/10/2018 23:08,Colorado Springs,CO,10
36,6,10/9/2022 2:36,Colorado Springs,CO,1
37,9,3/5/2025 21:24,Colorado Springs,CO,5
38,4,1/4/2021 22:11,Roanoke,VA,1
39,11,9/30/2020 0:14,Roanoke,VA,5
40,8,9/16/2024 0:42,Roanoke,VA,7
41,16,1/4/2025 7:32,Roanoke,VA,3
42,12,3/17/2020 20:35,Paterson,NJ,4
43,6,3/29/2022 16:25,Paterson,NJ,6
44,2,8/7/2019 21:34,Jacksonville,FL,3
45,2,10/16/2021 0:32,Jacksonville,FL,4
46,12,9/15/2021 6:27,Jacksonville,FL,1
47,14,5/30/2022 21:07,Fort Lauderdale,FL,5
48,6,4/24/2025 20:18,Fort Lauderdale,FL,9
49,1,7/16/2021 18:08,San Francisco,CA,1
50,2,5/29/2021 2:33,San Francisco,CA,1
51,1,10/23/2025 6:57,San Francisco,CA,6
52,8,2/26/2021 22:27,San Francisco,CA,5
53,16,6/2/2024 22:53,San Francisco,CA,4
54,9,8/20/2022 20:59,San Francisco,CA,1
55,9,4/21/2021 20:24,Manchester,NH,10
56,7,5/8/2020 23:20,Manchester,NH,8
57,12,7/17/2019 16:44,Manchester,NH,1
58,4,6/7/2018 21:51,Manchester,NH,4
59,9,6/28/2022 13:15,Anchorage,AK,7
60,9,8/29/2024 3:56,Anchorage,AK,10
61,14,4/15/2018 2:53,Anchorage,AK,5
62,6,3/30/2025 4:27,Youngstown,OH,8
63,13,4/4/2023 22:14,Youngstown,OH,1
64,10,11/22/2023 20:21,Glendale,CA,1
65,17,9/12/2023 20:06,Glendale,CA,10
66,3,4/3/2022 4:50,Boise,ID,8
67,5,11/30/2024 4:07,Boise,ID,4
68,2,6/28/2025 1:31,Boise,ID,1
69,9,2/4/2023 22:50,Detroit,MI,6
70,5,9/21/2021 1:11,Detroit,MI,9
71,1,3/10/2018 0:11,Detroit,MI,9
72,14,6/9/2020 2:10,Milwaukee,WI,6
73,16,10/10/2023 13:51,Milwaukee,WI,10
74,15,3/24/2020 4:32,New York City,NY,10
75,14,8/11/2018 21:54,New York City,NY,8
76,5,4/10/2020 11:47,Denver,CO,3
77,12,6/6/2023 1:17,Denver,CO,7
78,7,1/14/2024 0:00,Denver,CO,7
79,3,8/11/2021 0:35,Albany,NY,10
80,2,6/7/2018 2:00,Albany,NY,10
81,4,11/26/2021 19:44,Albany,NY,5
82,2,8/18/2018 2:22,Detroit,MI,6
83,14,3/17/2024 11:59,Harrisburg,PA,8
84,5,11/14/2023 4:24,Washington,DC,10
85,2,9/29/2024 22:15,Washington,DC,1
86,9,8/20/2020 22:13,Washington,DC,2
87,3,12/9/2023 4:53,Washington,DC,4
88,7,1/20/2020 12:30,Denver,CO,8
89,8,11/28/2024 8:00,Jacksonville,FL,6
90,8,12/8/2020 20:08,Gadsden,AL,2
91,4,7/22/2021 0:12,Gadsden,AL,9
92,1,7/14/2018 22:18,Gadsden,AL,5
93,1,2/4/2023 20:05,Gadsden,AL,9
94,9,12/24/2025 3:35,El Paso,TX,2
95,7,8/12/2023 1:43,El Paso,TX,10
96,1,3/22/2025 21:03,El Paso,TX,1
97,11,10/8/2021 2:18,Corpus Christi,TX,4
98,4,1/26/2018 0:59,Corpus Christi,TX,9
99,16,10/17/2021 23:58,Corpus Christi,TX,10
100,15,5/28/2018 22:48,Olympia,WA,1
101,7,3/26/2021 4:58,San Antonio,TX,5
102,15,1/18/2021 18:44,San Antonio,TX,7
103,17,1/13/2023 1:36,San Antonio,TX,5
104,3,6/27/2018 2:28,San Antonio,TX,9
105,13,4/19/2022 0:34,San Antonio,TX,7
106,10,3/10/2020 4:39,San Antonio,TX,9
107,15,10/2/2024 0:26,Lincoln,NE,4
108,3,10/11/2022 11:46,Lincoln,NE,10
109,13,4/22/2024 23:03,Lincoln,NE,3
110,15,1/21/2023 12:33,Milwaukee,WI,5
111,16,6/15/2018 3:58,Milwaukee,WI,4
112,12,3/6/2023 21:31,Milwaukee,WI,5
113,8,9/9/2024 2:47,Milwaukee,WI,10
114,16,2/6/2025 4:46,Salt Lake City,UT,3
115,13,8/29/2018 23:02,Salt Lake City,UT,8
116,3,8/11/2020 3:51,Salt Lake City,UT,1
117,3,2/8/2020 4:52,Salt Lake City,UT,1
118,2,10/15/2019 14:31,Salt Lake City,UT,5
119,5,4/29/2019 21:01,Louisville,KY,6
120,9,3/15/2024 7:43,Louisville,KY,9
121,2,10/18/2020 22:10,San Antonio,TX,1
122,9,5/14/2022 23:28,San Antonio,TX,8
123,2,8/23/2025 21:23,Shreveport,LA,4
124,14,12/12/2025 20:24,Shreveport,LA,9
125,12,11/23/2020 21:12,Norfolk,VA,3
126,7,3/5/2018 1:56,Norfolk,VA,2
127,13,1/18/2022 4:51,Norfolk,VA,4
128,10,3/6/2024 6:16,Norfolk,VA,3
129,15,2/23/2025 23:47,Atlanta,GA,1
130,3,9/29/2021 23:28,Atlanta,GA,5
131,2,10/7/2018 21:42,Atlanta,GA,3
132,8,10/25/2019 1:25,Cincinnati,OH,2
133,13,4/3/2025 3:30,Trenton,NJ,4
134,11,11/6/2018 3:51,Trenton,NJ,9
135,15,12/11/2022 13:03,Trenton,NJ,5
136,13,11/23/2025 22:18,Buffalo,NY,3
